county,state,date,cases,deaths,population
Autauga,Alabama,2021-08-30,8719,118,55380
Baldwin,Alabama,2021-08-30,32783,381,212830
Barbour,Alabama,2021-08-30,3036,65,25361
Bibb,Alabama,2021-08-30,3436,71,22493
Blount,Alabama,2021-08-30,8530,144,57681
Bullock,Alabama,2021-08-30,1380,41,10248
Butler,Alabama,2021-08-30,2793,74,19828
Calhoun,Alabama,2021-08-30,17707,351,114618
Chambers,Alabama,2021-08-30,4672,127,33660
Cherokee,Alabama,2021-08-30,2412,49,25903
Chilton,Alabama,2021-08-30,5583,120,44055
Choctaw,Alabama,2021-08-30,682,25,12925
Clarke,Alabama,2021-08-30,4158,68,24128
Clay,Alabama,2021-08-30,1974,60,13337
Cleburne,Alabama,2021-08-30,1860,46,14916
Coffee,Alabama,2021-08-30,7925,145,51662
Colbert,Alabama,2021-08-30,7636,152,54771
Conecuh,Alabama,2021-08-30,1540,35,12394
Coosa,Alabama,2021-08-30,1399,31,10757
Covington,Alabama,2021-08-30,5665,142,37200
Crenshaw,Alabama,2021-08-30,2046,60,13844
Cullman,Alabama,2021-08-30,12339,218,82853
Dale,Alabama,2021-08-30,7421,135,49277
Dallas,Alabama,2021-08-30,4256,167,39149
DeKalb,Alabama,2021-08-30,10807,208,71310
Elmore,Alabama,2021-08-30,12829,234,81144
Escambia,Alabama,2021-08-30,5677,89,37057
Etowah,Alabama,2021-08-30,17015,389,102748
Fayette,Alabama,2021-08-30,2484,65,16494
Franklin,Alabama,2021-08-30,5199,89,31466
Geneva,Alabama,2021-08-30,3654,89,26417
Greene,Alabama,2021-08-30,1131,39,8324
Hale,Alabama,2021-08-30,2676,80,14809
Henry,Alabama,2021-08-30,2616,45,17133
Houston,Alabama,2021-08-30,14589,316,104702
Jackson,Alabama,2021-08-30,8178,123,51852
Jefferson,Alabama,2021-08-30,100345,1647,659680
Lamar,Alabama,2021-08-30,1705,38,13885
Lauderdale,Alabama,2021-08-30,11921,258,92556
Lawrence,Alabama,2021-08-30,3721,100,33058
Lee,Alabama,2021-08-30,20020,192,161152
Limestone,Alabama,2021-08-30,12490,171,94727
Lowndes,Alabama,2021-08-30,1595,55,10079
Macon,Alabama,2021-08-30,1949,54,18708
Madison,Alabama,2021-08-30,43644,552,362276
Marengo,Alabama,2021-08-30,2973,69,19321
Marion,Alabama,2021-08-30,4066,110,29866
Marshall,Alabama,2021-08-30,15447,248,95643
Mobile,Alabama,2021-08-30,63157,1026,414114
Monroe,Alabama,2021-08-30,2719,42,21270
Montgomery,Alabama,2021-08-30,30152,638,226941
Morgan,Alabama,2021-08-30,17353,296,119213
Perry,Alabama,2021-08-30,1242,28,9293
Pickens,Alabama,2021-08-30,2760,63,20243
Pike,Alabama,2021-08-30,3934,84,33333
Randolph,Alabama,2021-08-30,2477,53,22647
Russell,Alabama,2021-08-30,5485,51,57952
Shelby,Alabama,2021-08-30,31907,276,213432
St. Clair,Alabama,2021-08-30,13065,258,87989
Sumter,Alabama,2021-08-30,1179,34,12797
Talladega,Alabama,2021-08-30,10566,194,80387
Tallapoosa,Alabama,2021-08-30,5524,161,40541
Tuscaloosa,Alabama,2021-08-30,30023,484,207305
Walker,Alabama,2021-08-30,9058,298,64110
Washington,Alabama,2021-08-30,2255,42,16541
Wilcox,Alabama,2021-08-30,1439,32,10681
Winston,Alabama,2021-08-30,3545,77,23784
Aleutians East Borough,Alaska,2021-08-30,398,3,3385
Aleutians West Census Area,Alaska,2021-08-30,808,0,5698
Anchorage,Alaska,2021-08-30,37589,207,293531
Bethel Census Area,Alaska,2021-08-30,4372,22,18134
Bristol Bay plus Lake and Peninsula,Alaska,2021-08-30,251,0,NA
Denali Borough,Alaska,2021-08-30,155,0,2246
Dillingham Census Area,Alaska,2021-08-30,351,2,4961
Fairbanks North Star Borough,Alaska,2021-08-30,9028,50,99072
Haines Borough,Alaska,2021-08-30,132,0,2518
Juneau City and Borough,Alaska,2021-08-30,2215,3,32227
Kenai Peninsula Borough,Alaska,2021-08-30,6692,27,58464
Ketchikan Gateway Borough,Alaska,2021-08-30,1070,2,13800
Kodiak Island Borough,Alaska,2021-08-30,1557,6,13451
Kusilvak Census Area,Alaska,2021-08-30,1591,4,8250
Matanuska-Susitna Borough,Alaska,2021-08-30,13503,65,105369
Nome Census Area,Alaska,2021-08-30,873,0,9988
North Slope Borough,Alaska,2021-08-30,1315,4,9792
Northwest Arctic Borough,Alaska,2021-08-30,834,3,7715
Petersburg Borough,Alaska,2021-08-30,203,1,3257
Prince of Wales-Hyder Census Area,Alaska,2021-08-30,324,5,6407
Sitka City and Borough,Alaska,2021-08-30,977,2,8640
Skagway Municipality,Alaska,2021-08-30,48,0,1107
Southeast Fairbanks Census Area,Alaska,2021-08-30,842,7,6878
Valdez-Cordova Census Area,Alaska,2021-08-30,1064,2,9243
Wrangell City and Borough,Alaska,2021-08-30,118,0,2502
Yakutat plus Hoonah-Angoon,Alaska,2021-08-30,102,2,NA
Yukon-Koyukuk Census Area,Alaska,2021-08-30,426,4,5377
Apache,Arizona,2021-08-30,12398,452,71511
Cochise,Arizona,2021-08-30,13098,306,125867
Coconino,Arizona,2021-08-30,19814,341,141274
Gila,Arizona,2021-08-30,8179,248,53546
Graham,Arizona,2021-08-30,6209,89,37996
Greenlee,Arizona,2021-08-30,718,12,9522
La Paz,Arizona,2021-08-30,2679,81,20793
Maricopa,Arizona,2021-08-30,640002,10780,4328810
Mohave,Arizona,2021-08-30,28266,844,207695
Navajo,Arizona,2021-08-30,18518,571,109270
Pima,Arizona,2021-08-30,127245,2496,1027207
Pinal,Arizona,2021-08-30,62672,943,432793
Santa Cruz,Arizona,2021-08-30,8477,185,46480
Yavapai,Arizona,2021-08-30,23499,579,228067
Yuma,Arizona,2021-08-30,39327,860,209468
Arkansas,Arkansas,2021-08-30,3075,51,17914
Ashley,Arkansas,2021-08-30,2670,39,20270
Baxter,Arkansas,2021-08-30,5382,152,41427
