county,state,d-2021-03-30,d-2021-04-30,d-2021-05-30,d-2021-06-30,d-2021-07-30,d-2021-08-30
Autauga,Alabama,118.81545684362587,124.66594438425425,128.96352473817262,131.0400866738895,135.3015529071867,157.43950884795953
Baldwin,Alabama,96.28341869097402,98.39308368181177,101.58342338955974,103.49574777991825,116.27590095381291,154.0337358455105
Barbour,Alabama,87.81199479515791,90.69043018808406,92.03107132999487,92.50423879184575,97.86680335948898,119.71136784827097
Bibb,Alabama,112.79064597874894,115.32476770550838,118.4368470190726,119.72613702040636,127.7286266838572,152.75863602009514
Blount,Alabama,111.70055997642204,114.64780430297672,118.99932386747803,121.131741821397,126.52346526585877,147.8823182677138
Bullock,Alabama,117.68149882903982,119.82825917252146,120.31615925058547,121.87743950039032,123.04839968774395,134.66042154566745
Butler,Alabama,105.80996570506355,108.53338712931209,111.91244704458342,114.08109743796652,120.43574742787978,140.8614081097438
Calhoun,Alabama,124.02938456437906,125.96625311905635,127.5715856148249,128.91517911671815,133.32984348008168,154.48707881833568
Chambers,Alabama,103.59477124183007,105.19904931669637,108.88294711824123,110.99227569815805,116.31016042780749,138.7997623291741
Cherokee,Alabama,69.72165386248696,70.87982087016947,71.88356561016099,72.34683241323398,76.16878353858627,93.11662741767363
Chilton,Alabama,91.52196118488254,95.88014981273409,100.55612302803314,101.71376688230622,107.09340596981048,126.72795369424583
Choctaw,Alabama,45.18375241779497,46.42166344294004,47.42746615087041,48.27852998065764,49.825918762088975,52.76595744680851
Clarke,Alabama,143.23607427055703,145.1425729442971,145.93003978779842,146.4273872679045,152.7685676392573,172.33090185676392
Clay,Alabama,111.04446277273749,114.71845242558297,118.31746269775812,120.191947214516,123.11614306065832,148.00929744320314
Cleburne,Alabama,97.2780906409225,99.35639581657281,100.83132207026011,103.37892196299275,107.53553231429338,124.69831053901851
Coffee,Alabama,104.17715148465024,106.0547404281677,108.49367039603577,109.80991831520267,120.64960706128295,153.4009523440827
Colbert,Alabama,112.55956619378868,114.62270179474538,115.88249255993135,117.41615088276643,121.4511328987968,139.41684468057915
Conecuh,Alabama,87.62304340810068,88.59125383249959,90.28562207519768,92.14135872196225,96.82104243989028,124.2536711311925
Coosa,Alabama,87.57088407548574,99.19122431904806,102.25899414334852,104.39713674816399,108.95231012364042,130.0548480059496
Covington,Alabama,108.54838709677419,110.34946236559139,113.36021505376344,115.48387096774194,125.80645161290322,152.28494623655914
Crenshaw,Alabama,108.49465472406818,109.28922276798612,111.23952614851198,114.41779832418376,120.12424154868535,147.78965616873734
Cullman,Alabama,113.06772235163483,115.86786235863518,118.80076762458813,120.79224650887717,125.71663065911918,148.92641183783329
Dale,Alabama,96.57649613409907,97.44911419120481,99.4784585100554,100.37137001034965,111.69511130953589,150.5976419019015
Dallas,Alabama,89.78517969807658,90.16833124728602,91.87974150042147,92.51832741577051,95.20038826023654,108.71286622902245
DeKalb,Alabama,121.96045435422802,123.43289861169542,124.7510868040948,126.60215958491095,132.3376805497125,151.5495722900014
Elmore,Alabama,122.55989352262644,123.26234841762792,126.10913930789708,127.11968845509219,133.01045055703443,158.10164645568372
Escambia,Alabama,104.19084113662736,105.9179102463772,107.07828480449037,108.88631027875975,116.55017945327468,153.19642712577922
Etowah,Alabama,132.78117335617236,134.03667224666174,136.07077510024527,138.60123798030133,144.46023280258495,165.59933040059175
Fayette,Alabama,125.07578513398812,128.34970292227476,130.16854613798955,133.44246392627625,136.77700982175335,150.6002182611859
Franklin,Alabama,132.96891883302612,134.52615521515287,135.79736858831757,137.48172630776077,143.42464882730565,165.22595817708003
Geneva,Alabama,92.55403717303251,93.42468864746186,96.86944013324752,98.15649013892569,105.38668281788243,138.32002119847067
Greene,Alabama,108.60163382988948,110.64392119173475,111.4848630466122,112.56607400288323,118.81307063911581,135.87217683805864
Hale,Alabama,145.78972246606796,149.43615369032347,152.06968735228577,153.55527044364914,158.0120197177392,180.7009251131069
Henry,Alabama,108.91262475923656,109.90486196229499,112.88157357147026,113.99054456312379,122.74557870775696,152.68779548240238
