county,state,d-2021-03-30,d-2021-04-30,d-2021-05-30,d-2021-06-30,d-2021-07-30,d-2021-08-30
Autauga,Alabama,1.7876489707475625,1.932105453232214,1.9862766341639582,2.0404478150957024,2.058504875406284,2.1307331166486096
Baldwin,Alabama,1.414274303434666,1.4330686463374522,1.461260160691632,1.4800545035944181,1.54583470375417,1.7901611614903914
Barbour,Alabama,2.12925357832893,2.2081148219707427,2.326406687433461,2.365837309254367,2.4052679310752727,2.562990418358898
Bibb,Alabama,2.5785800026674965,2.8008713822077977,2.8453296581158583,2.8453296581158583,2.8897879340239188,3.15653758947228
Blount,Alabama,2.2711118045803644,2.3404587299110626,2.409805655241761,2.409805655241761,2.409805655241761,2.4964893119051332
Bullock,Alabama,3.8056206088992974,3.9032006245121,4.0983606557377055,4.0983606557377055,4.0983606557377055,4.000780640124902
Butler,Alabama,3.3286261851926566,3.479927375428687,3.58079483558604,3.58079483558604,3.6312285656647165,3.7320960258220697
Calhoun,Alabama,2.652288471269783,2.7220855363031986,2.8267811338533217,2.8791289326283827,2.8965781988867367,3.0623462283410983
Chambers,Alabama,3.4462269756387407,3.6244800950683302,3.654188948306595,3.654188948306595,3.713606654783125,3.7730243612596555
Cherokee,Alabama,1.6600393776782612,1.7372505115237618,1.7372505115237618,1.7372505115237618,1.8530672122920124,1.891672779214763
Chilton,Alabama,2.4741800022698897,2.519577800476677,2.610373396890251,2.633072295993644,2.6557711950970377,2.723867892407218
Choctaw,Alabama,1.8568665377176015,1.8568665377176015,1.9342359767891684,1.9342359767891684,1.9342359767891684,1.9342359767891684
Clarke,Alabama,2.403846153846154,2.486737400530504,2.5281830238726792,2.5281830238726792,2.611074270557029,2.8183023872679045
Clay,Alabama,4.048886556197045,4.198845317537677,4.273824698207993,4.423783459548624,4.423783459548624,4.498762840218939
Cleburne,Alabama,2.7487262000536337,2.7487262000536337,2.815768302493966,2.8828104049342986,3.0168946098149636,3.083936712255296
Coffee,Alabama,2.0905114010297705,2.226007510355774,2.342147032635206,2.4776431419612095,2.5550694901474973,2.8067051217529326
Colbert,Alabama,2.2822296470760075,2.44655018166548,2.5013236931953045,2.5560972047251282,2.5926128790783443,2.7751912508444248
Conecuh,Alabama,2.097789252864289,2.259157656930773,2.4205260609972568,2.4205260609972568,2.5012102630304986,2.823947071163466
Coosa,Alabama,2.2311053267639678,2.6029562145579623,2.6959189365064606,2.6959189365064606,2.6959189365064606,2.881844380403458
Covington,Alabama,2.9838709677419355,3.1182795698924735,3.198924731182796,3.3333333333333335,3.360215053763441,3.8172043010752685
Crenshaw,Alabama,4.117307136665704,4.117307136665704,4.117307136665704,4.117307136665704,4.189540595203698,4.334007512279689
Cullman,Alabama,2.244939833198557,2.3294268161683944,2.38977466114685,2.425983368133924,2.4742616441166887,2.631166041060674
